source_image	target_image	source_image_id	reported_size	architecture	status
swebench/swesmith.x86_64.bluele_1776_gcache.d8b7e051:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.bluele_1776_gcache.d8b7e051:latest	c2b4a59f069b	1.34GB	linux/amd64	pending
swebench/swesmith.x86_64.bojanz_1776_address.ec203a4f:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.bojanz_1776_address.ec203a4f:latest	bf91c290746a	1.39GB	linux/amd64	pending
swebench/swesmith.x86_64.borntyping_1776_python-colorlog.dfa10f59:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.borntyping_1776_python-colorlog.dfa10f59:latest	a5c42a0b551c	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.bottlepy_1776_bottle.a8dfef30:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.bottlepy_1776_bottle.a8dfef30:latest	856d718b143c	4.86GB	linux/amd64	pending
swebench/swesmith.x86_64.buriy_1776_python-readability.40256f40:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.buriy_1776_python-readability.40256f40:latest	21b5f6342986	4.7GB	linux/amd64	pending
swebench/swesmith.x86_64.burnash_1776_gspread.a8be3b96:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.burnash_1776_gspread.a8be3b96:latest	5267a13ace49	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.bytedance_1776_sonic.de4f017f:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.bytedance_1776_sonic.de4f017f:latest	f64d58c68046	1.97GB	linux/amd64	pending
swebench/swesmith.x86_64.c-bata_1776_go-prompt.82a91227:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.c-bata_1776_go-prompt.82a91227:latest	3daf51c74a01	1.35GB	linux/amd64	pending
swebench/swesmith.x86_64.caarlos0_1776_env.56a09d29:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.caarlos0_1776_env.56a09d29:latest	ddb461183d1a	1.39GB	linux/amd64	pending
swebench/swesmith.x86_64.caddyserver_1776_caddy.77dd12cc:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.caddyserver_1776_caddy.77dd12cc:latest	1a2e9001bbc6	3.14GB	linux/amd64	pending
swebench/swesmith.x86_64.cantools_1776_cantools.0c6a7871:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.cantools_1776_cantools.0c6a7871:latest	1e631be5f619	5.14GB	linux/amd64	pending
swebench/swesmith.x86_64.chardet_1776_chardet.9630f238:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.chardet_1776_chardet.9630f238:latest	08e07b0219dd	4.68GB	linux/amd64	pending
swebench/swesmith.x86_64.charmbracelet_1776_bubbletea.ca9473b2:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.charmbracelet_1776_bubbletea.ca9473b2:latest	07960354d65b	1.47GB	linux/amd64	pending
swebench/swesmith.x86_64.cknd_1776_stackprinter.219fcc52:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.cknd_1776_stackprinter.219fcc52:latest	d9e850c047b2	4.61GB	linux/amd64	pending
swebench/swesmith.x86_64.cloudpipe_1776_cloudpickle.6220b0ce:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.cloudpipe_1776_cloudpickle.6220b0ce:latest	8a93658df0bd	4.9GB	linux/amd64	pending
swebench/swesmith.x86_64.cog-creators_1776_red-discordbot.33e0eac7:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.cog-creators_1776_red-discordbot.33e0eac7:latest	efe749af7b4d	5.08GB	linux/amd64	pending
swebench/swesmith.x86_64.conan-io_1776_conan.86f29e13:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.conan-io_1776_conan.86f29e13:latest	db8589f5c399	4.71GB	linux/amd64	pending
swebench/swesmith.x86_64.contentsquare_1776_chproxy.a9364c8b:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.contentsquare_1776_chproxy.a9364c8b:latest	0c455a917fc2	1.96GB	linux/amd64	pending
swebench/swesmith.x86_64.cookiecutter_1776_cookiecutter.b4451231:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.cookiecutter_1776_cookiecutter.b4451231:latest	4970aea78d17	4.8GB	linux/amd64	pending
swebench/swesmith.x86_64.cool-rr_1776_pysnooper.57472b46:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.cool-rr_1776_pysnooper.57472b46:latest	028d1e8f6ccd	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.couchbase_1776_moss.bf10bab2:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.couchbase_1776_moss.bf10bab2:latest	824ccaed4632	1.36GB	linux/amd64	pending
swebench/swesmith.x86_64.cweill_1776_gotests.16a93f6e:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.cweill_1776_gotests.16a93f6e:latest	35c6f0f8de9f	1.45GB	linux/amd64	pending
swebench/swesmith.x86_64.dask_1776_dask.5f61e423:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.dask_1776_dask.5f61e423:latest	9f9e151c6eab	6.23GB	linux/amd64	pending
swebench/swesmith.x86_64.datamade_1776_usaddress.a42a8f0c:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.datamade_1776_usaddress.a42a8f0c:latest	9835ac5a7ac1	4.93GB	linux/amd64	pending
swebench/swesmith.x86_64.davidhalter_1776_parso.338a5760:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.davidhalter_1776_parso.338a5760:latest	27a6e85076f6	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.dbader_1776_schedule.82a43db1:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.dbader_1776_schedule.82a43db1:latest	636d2fa7f06a	4.91GB	linux/amd64	pending
swebench/swesmith.x86_64.deckarep_1776_golang-set.9480c3eb:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.deckarep_1776_golang-set.9480c3eb:latest	98fc1eaa1df4	1.34GB	linux/amd64	pending
swebench/swesmith.x86_64.denisenkom_1776_go-mssqldb.103f0369:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.denisenkom_1776_go-mssqldb.103f0369:latest	853a4b61664e	1.62GB	linux/amd64	pending
swebench/swesmith.x86_64.derekparker_1776_trie.4095f8e3:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.derekparker_1776_trie.4095f8e3:latest	4ec8dc73d729	1.33GB	linux/amd64	pending
swebench/swesmith.x86_64.dimfeld_1776_httptreemux.53a6a099:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.dimfeld_1776_httptreemux.53a6a099:latest	ae6410eeb830	1.39GB	linux/amd64	pending
swebench/swesmith.x86_64.django-money_1776_django-money.835c1ab8:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.django-money_1776_django-money.835c1ab8:latest	2653217b0ea3	4.93GB	linux/amd64	pending
swebench/swesmith.x86_64.django_1776_channels.a144b4b8:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.django_1776_channels.a144b4b8:latest	2a078d1d23c4	4.84GB	linux/amd64	pending
swebench/swesmith.x86_64.django_1776_daphne.32ac73e1:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.django_1776_daphne.32ac73e1:latest	11ab45868436	4.84GB	linux/amd64	pending
swebench/swesmith.x86_64.doctrine_1776_dbal.acb68b38:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.doctrine_1776_dbal.acb68b38:latest	3c27f2277c58	1.09GB	linux/amd64	pending
swebench/swesmith.x86_64.doug-martin_1776_goqu.21b6e6d1:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.doug-martin_1776_goqu.21b6e6d1:latest	340cdb95e518	1.58GB	linux/amd64	pending
swebench/swesmith.x86_64.emirpasic_1776_gods.1d83d5ae:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.emirpasic_1776_gods.1d83d5ae:latest	ed25b25ec16f	1.42GB	linux/amd64	pending
swebench/swesmith.x86_64.encode_1776_starlette.db5063c2:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.encode_1776_starlette.db5063c2:latest	9af8fb61273f	5.11GB	linux/amd64	pending
swebench/swesmith.x86_64.erikrose_1776_parsimonious.0d3f5f93:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.erikrose_1776_parsimonious.0d3f5f93:latest	6267c73bbc44	4.67GB	linux/amd64	pending
swebench/swesmith.x86_64.facebookresearch_1776_fvcore.a491d5b9:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.facebookresearch_1776_fvcore.a491d5b9:latest	2e35005df856	19.5GB	linux/amd64	pending
swebench/swesmith.x86_64.facebookresearch_1776_hydra.0f03eb60:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.facebookresearch_1776_hydra.0f03eb60:latest	31942aad9a59	5.52GB	linux/amd64	pending
swebench/swesmith.x86_64.facelessuser_1776_soupsieve.a8080d97:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.facelessuser_1776_soupsieve.a8080d97:latest	1adae70570f5	4.79GB	linux/amd64	pending
swebench/swesmith.x86_64.fatedier_1776_frp.61330d4d:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.fatedier_1776_frp.61330d4d:latest	296294bc0e6e	1.64GB	linux/amd64	pending
swebench/swesmith.x86_64.gawel_1776_pyquery.811cd048:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.gawel_1776_pyquery.811cd048:latest	a4a015ce3241	4.7GB	linux/amd64	pending
swebench/swesmith.x86_64.getmoto_1776_moto.694ce1f4:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.getmoto_1776_moto.694ce1f4:latest	be3b3aa665c7	6.01GB	linux/amd64	pending
swebench/swesmith.x86_64.getnikola_1776_nikola.0f4c230e:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.getnikola_1776_nikola.0f4c230e:latest	0457d5e95af2	5.19GB	linux/amd64	pending
swebench/swesmith.x86_64.gin-gonic_1776_gin.3c12d2a8:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.gin-gonic_1776_gin.3c12d2a8:latest	8f88f65bbc45	1.84GB	linux/amd64	pending
swebench/swesmith.x86_64.go-chi_1776_chi.23c395f8:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.go-chi_1776_chi.23c395f8:latest	95b4aa88b074	1.4GB	linux/amd64	pending
swebench/swesmith.x86_64.go-critic_1776_go-critic.db2ec6f4:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.go-critic_1776_go-critic.db2ec6f4:latest	9ed8110a79c4	1.7GB	linux/amd64	pending
swebench/swesmith.x86_64.go-gorm_1776_gorm.1e8baf54:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.go-gorm_1776_gorm.1e8baf54:latest	a44bee569ad5	1.45GB	linux/amd64	pending
swebench/swesmith.x86_64.go-gota_1776_gota.f7054095:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.go-gota_1776_gota.f7054095:latest	0519f3100339	1.41GB	linux/amd64	pending
swebench/swesmith.x86_64.go-ini_1776_ini.b2f570e5:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.go-ini_1776_ini.b2f570e5:latest	aea8481f39be	1.26GB	linux/amd64	pending
swebench/swesmith.x86_64.go-sql-driver_1776_mysql.76c00e35:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.go-sql-driver_1776_mysql.76c00e35:latest	690ca5c9609a	1.38GB	linux/amd64	pending
swebench/swesmith.x86_64.go-zoo_1776_bone.31c3a0bb:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.go-zoo_1776_bone.31c3a0bb:latest	490a977e8df5	1.39GB	linux/amd64	pending
swebench/swesmith.x86_64.godror_1776_godror.cc3b65ef:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.godror_1776_godror.cc3b65ef:latest	6dac0e458152	1.5GB	linux/amd64	pending
swebench/swesmith.x86_64.golang_1776_groupcache.2c02b820:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.golang_1776_groupcache.2c02b820:latest	2b39b08a3083	1.43GB	linux/amd64	pending
swebench/swesmith.x86_64.google_1776_gson.dd2fe59c:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.google_1776_gson.dd2fe59c:latest	7bd28cc71ee5	1.41GB	linux/amd64	pending
swebench/swesmith.x86_64.google_1776_textfsm.c31b6007:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.google_1776_textfsm.c31b6007:latest	b065f17ac76d	4.49GB	linux/amd64	pending
swebench/swesmith.x86_64.gookit_1776_color.5a495618:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.gookit_1776_color.5a495618:latest	be9935e4f079	1.43GB	linux/amd64	pending
swebench/swesmith.x86_64.gosuri_1776_uiprogress.484b9f69:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.gosuri_1776_uiprogress.484b9f69:latest	586125ee9f53	1.35GB	linux/amd64	pending
swebench/swesmith.x86_64.graphql-python_1776_graphene.82903263:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.graphql-python_1776_graphene.82903263:latest	8670169c10a5	4.68GB	linux/amd64	pending
swebench/swesmith.x86_64.gruns_1776_furl.da386f68:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.gruns_1776_furl.da386f68:latest	41d6849858d3	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.gruns_1776_icecream.f76fef56:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.gruns_1776_icecream.f76fef56:latest	3cf1121749e2	4.63GB	linux/amd64	pending
swebench/swesmith.x86_64.gweis_1776_isodate.17cb25eb:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.gweis_1776_isodate.17cb25eb:latest	8f9bb0bac789	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.hamba_1776_avro.ec06b38c:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.hamba_1776_avro.ec06b38c:latest	7d682e04015d	1.67GB	linux/amd64	pending
swebench/swesmith.x86_64.hdt3213_1776_godis.8a81b911:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.hdt3213_1776_godis.8a81b911:latest	769497a9c8bb	1.53GB	linux/amd64	pending
swebench/swesmith.x86_64.hdt3213_1776_rdb.087190b9:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.hdt3213_1776_rdb.087190b9:latest	0fff44e38499	1.47GB	linux/amd64	pending
swebench/swesmith.x86_64.hips_1776_autograd.ac044f0d:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.hips_1776_autograd.ac044f0d:latest	de0dcf1bb69d	5.02GB	linux/amd64	pending
swebench/swesmith.x86_64.hjson_1776_hjson-go.f3219653:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.hjson_1776_hjson-go.f3219653:latest	470d176c3583	1.35GB	linux/amd64	pending
swebench/swesmith.x86_64.hukkin_1776_tomli.443a0c1b:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.hukkin_1776_tomli.443a0c1b:latest	a804c30560d7	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.hypermodeinc_1776_ristretto.da570116:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.hypermodeinc_1776_ristretto.da570116:latest	2b9762a9257a	1.43GB	linux/amd64	pending
swebench/swesmith.x86_64.incu6us_1776_goimports-reviser.fb560c58:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.incu6us_1776_goimports-reviser.fb560c58:latest	362ec3cc59e4	1.47GB	linux/amd64	pending
swebench/swesmith.x86_64.instagram_1776_monkeytype.70c3acf6:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.instagram_1776_monkeytype.70c3acf6:latest	27c699457657	4.51GB	linux/amd64	pending
swebench/swesmith.x86_64.iterative_1776_dvc.1d6ea681:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.iterative_1776_dvc.1d6ea681:latest	cd9faa15ad3c	5.93GB	linux/amd64	pending
swebench/swesmith.x86_64.jaraco_1776_inflect.c079a96a:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.jaraco_1776_inflect.c079a96a:latest	f8aad0fcab33	4.49GB	linux/amd64	pending
swebench/swesmith.x86_64.jawah_1776_charset_normalizer.1fdd6463:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.jawah_1776_charset_normalizer.1fdd6463:latest	1f22bd266167	4.74GB	linux/amd64	pending
swebench/swesmith.x86_64.jd_1776_tenacity.0d40e76f:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.jd_1776_tenacity.0d40e76f:latest	7ec64b27cf64	4.81GB	linux/amd64	pending
swebench/swesmith.x86_64.jellydator_1776_ttlcache.7145e12e:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.jellydator_1776_ttlcache.7145e12e:latest	ad54ebc3deb4	1.4GB	linux/amd64	pending
swebench/swesmith.x86_64.jessevdk_1776_go-flags.8eae68f0:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.jessevdk_1776_go-flags.8eae68f0:latest	14f759db20d7	1.29GB	linux/amd64	pending
swebench/swesmith.x86_64.jf-tech_1776_omniparser.d4371ab7:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.jf-tech_1776_omniparser.d4371ab7:latest	9c6b38b0ed78	1.42GB	linux/amd64	pending
swebench/swesmith.x86_64.john-kurkowski_1776_tldextract.3d1bf184:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.john-kurkowski_1776_tldextract.3d1bf184:latest	78345d75c699	4.94GB	linux/amd64	pending
swebench/swesmith.x86_64.joho_1776_godotenv.3a7a1902:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.joho_1776_godotenv.3a7a1902:latest	eb4c47e629ab	1.26GB	linux/amd64	pending
swebench/swesmith.x86_64.joke2k_1776_faker.8b401a7d:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.joke2k_1776_faker.8b401a7d:latest	51aa0de3849b	4.85GB	linux/amd64	pending
swebench/swesmith.x86_64.jsvine_1776_pdfplumber.02ff4313:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.jsvine_1776_pdfplumber.02ff4313:latest	eb85075e1f4d	5.68GB	linux/amd64	pending
swebench/swesmith.x86_64.julienschmidt_1776_httprouter.48401801:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.julienschmidt_1776_httprouter.48401801:latest	57065a3c56ad	1.26GB	linux/amd64	pending
swebench/swesmith.x86_64.junegunn_1776_fzf.976001e4:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.junegunn_1776_fzf.976001e4:latest	dcd2b7a491f5	1.47GB	linux/amd64	pending
swebench/swesmith.x86_64.kayak_1776_pypika.1c9646f0:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.kayak_1776_pypika.1c9646f0:latest	7f43837d9d99	4.81GB	linux/amd64	pending
swebench/swesmith.x86_64.keleshev_1776_schema.24a30457:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.keleshev_1776_schema.24a30457:latest	bafc02637438	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.kennethreitz_1776_records.5941ab27:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.kennethreitz_1776_records.5941ab27:latest	513ce512aca0	4.72GB	linux/amd64	pending
swebench/swesmith.x86_64.kisielk_1776_errcheck.dacab891:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.kisielk_1776_errcheck.dacab891:latest	1d4a8ab3b0ca	1.29GB	linux/amd64	pending
swebench/swesmith.x86_64.knio_1776_dominate.9082227e:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.knio_1776_dominate.9082227e:latest	9bbd3fae4f84	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.krotik_1776_eliasdb.88a1da66:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.krotik_1776_eliasdb.88a1da66:latest	1be08d512af4	1.4GB	linux/amd64	pending
swebench/swesmith.x86_64.kurtmckee_1776_feedparser.cad965a3:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.kurtmckee_1776_feedparser.cad965a3:latest	75344f23b3da	4.91GB	linux/amd64	pending
swebench/swesmith.x86_64.kyoh86_1776_richgo.98af5f3a:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.kyoh86_1776_richgo.98af5f3a:latest	9c09f6d29fe4	1.28GB	linux/amd64	pending
swebench/swesmith.x86_64.labstack_1776_echo.98ca08e7:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.labstack_1776_echo.98ca08e7:latest	0b512da9c41c	1.56GB	linux/amd64	pending
swebench/swesmith.x86_64.ledisdb_1776_ledisdb.d35789ec:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.ledisdb_1776_ledisdb.d35789ec:latest	1395fe0c9f3d	1.36GB	linux/amd64	pending
swebench/swesmith.x86_64.leekchan_1776_accounting.2e091173:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.leekchan_1776_accounting.2e091173:latest	b43bd78893ca	1.26GB	linux/amd64	pending
swebench/swesmith.x86_64.lepture_1776_mistune.bf54ef67:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.lepture_1776_mistune.bf54ef67:latest	a67f9e022c88	4.67GB	linux/amd64	pending
swebench/swesmith.x86_64.life4_1776_textdistance.c3aca916:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.life4_1776_textdistance.c3aca916:latest	fec01b87c3b2	4.85GB	linux/amd64	pending
swebench/swesmith.x86_64.lincolnloop_1776_python-qrcode.456b01d4:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.lincolnloop_1776_python-qrcode.456b01d4:latest	a1c5942d72cc	4.69GB	linux/amd64	pending
swebench/swesmith.x86_64.lqs_1776_sqlingo.ed36ef03:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.lqs_1776_sqlingo.ed36ef03:latest	d5810d52ca01	1.28GB	linux/amd64	pending
swebench/swesmith.x86_64.luozhouyang_1776_python-string-similarity.115acaac:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.luozhouyang_1776_python-string-similarity.115acaac:latest	5688f1ecdc59	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.madzak_1776_python-json-logger.5f85723f:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.madzak_1776_python-json-logger.5f85723f:latest	ff8e0ec03d21	4.66GB	linux/amd64	pending
swebench/swesmith.x86_64.mahmoud_1776_boltons.3bfcfdd0:latest	registry.h.pjlab.org.cn/ailab-sys/swesmith.x86_64.mahmoud_1776_boltons.3bfcfdd0:latest	a68ab4364761	4.69GB	linux/amd64	pending
